"COUNTRY","COUNTRY_GRP","SEX","YEAR","VALUE"
"ALB","","ALL","2007","0.09"
"ALB","","ALL","2008","0.1"
"ALB","","ALL","2009","0.12"
"ALB","","ALL","2010","0.11"
"ALB","","ALL","2011","1.57"
"ALB","","ALL","2012","1.66"
"ALB","","ALL","2013","1.68"
"ALB","","ALL","2014","1.69"
"ALB","","ALL","2015","2.27"
"ALB","","ALL","2016","2.46"
"ALB","","ALL","2017","2.54"
"ARM","","ALL","1980","0.45"
"ARM","","ALL","1981","0.54"
"ARM","","ALL","1982","0.55"
"ARM","","ALL","1983","0.64"
"ARM","","ALL","1984","0.66"
"ARM","","ALL","1985","0.72"
"ARM","","ALL","1986","0.76"
"ARM","","ALL","1987","0.83"
"ARM","","ALL","1988","0.9"
"ARM","","ALL","1989","0.95"
"ARM","","ALL","1990","1.07"
"ARM","","ALL","1991","1.05"
"ARM","","ALL","1992","1"
"ARM","","ALL","1993","1.14"
"ARM","","ALL","1994","1.21"
"ARM","","ALL","1995","1.12"
"ARM","","ALL","1996","1.1"
"ARM","","ALL","1997","1.07"
"ARM","","ALL","1998","1.08"
"ARM","","ALL","1999","1.05"
"ARM","","ALL","2000","1.06"
"ARM","","ALL","2001","1.07"
"ARM","","ALL","2002","1.09"
"ARM","","ALL","2003","1.03"
"ARM","","ALL","2004","1.06"
"ARM","","ALL","2005","1.1"
"ARM","","ALL","2006","1.19"
"ARM","","ALL","2007","1.3"
"ARM","","ALL","2008","1.38"
"ARM","","ALL","2009","1.45"
"ARM","","ALL","2010","1.52"
"ARM","","ALL","2011","1.63"
"ARM","","ALL","2012","1.93"
"ARM","","ALL","2013","2.11"
"ARM","","ALL","2014","2.25"
"ARM","","ALL","2015","2.41"
"ARM","","ALL","2016","2.6"
"ARM","","ALL","2017","2.77"
"ARM","","ALL","2018","2.99"
"ARM","","ALL","2019","3.12"
"AUT","","ALL","2006","4.72"
"AUT","","ALL","2015","4.21"
"AUT","","ALL","2019","5.04"
"AZE","","ALL","1990","0.63"
"AZE","","ALL","1991","0.62"
"AZE","","ALL","1992","0.61"
"AZE","","ALL","1993","0.56"
"AZE","","ALL","1994","0.55"
"AZE","","ALL","1995","0.52"
"AZE","","ALL","1996","0.55"
"AZE","","ALL","1997","0.54"
"AZE","","ALL","1998","0.51"
"AZE","","ALL","1999","0.51"
"AZE","","ALL","2000","0.53"
"AZE","","ALL","2001","0.55"
"AZE","","ALL","2002","0.57"
"AZE","","ALL","2003","0.6"
"AZE","","ALL","2004","0.63"
"AZE","","ALL","2005","0.74"
"AZE","","ALL","2006","0.86"
"AZE","","ALL","2007","1.1"
"AZE","","ALL","2008","1.23"
"AZE","","ALL","2009","1.32"
"AZE","","ALL","2010","1.48"
"AZE","","ALL","2011","1.64"
"AZE","","ALL","2012","1.94"
"AZE","","ALL","2013","2.2"
"AZE","","ALL","2014","2.02"
"AZE","","ALL","2015","2.17"
"AZE","","ALL","2016","2.3"
"AZE","","ALL","2017","2.47"
"BEL","","ALL","1997","2.22"
"BEL","","ALL","2001","2.8"
"BEL","","ALL","2004","3.39"
"BEL","","ALL","2006","4.79"
"BEL","","ALL","2007","5.1"
"BEL","","ALL","2008","5.2"
"BEL","","ALL","2009","5.1"
"BEL","","ALL","2010","5.3"
"BEL","","ALL","2011","5.42"
"BEL","","ALL","2012","5.6"
"BEL","","ALL","2013","5.7"
"BEL","","ALL","2014","5.8"
"BEL","","ALL","2015","6"
"BEL","","ALL","2016","6.09"
"BEL","","ALL","2017","6.2"
"BEL","","ALL","2018","6.3"
"BGR","","ALL","1980","0.83"
"BGR","","ALL","1981","0.95"
"BGR","","ALL","1982","1.02"
"BGR","","ALL","1983","1.08"
"BGR","","ALL","1984","1.07"
"BGR","","ALL","1985","1.1"
"BGR","","ALL","1986","1.19"
"BGR","","ALL","1987","1.2"
"BGR","","ALL","1988","1.19"
"BGR","","ALL","1989","1.13"
"BGR","","ALL","1990","1.14"
"BGR","","ALL","1991","1.12"
"BGR","","ALL","1992","1.15"
"BGR","","ALL","1993","1.3"
"BGR","","ALL","1994","1.31"
"BGR","","ALL","1995","1.32"
"BGR","","ALL","1996","1.51"
"BGR","","ALL","1997","1.58"
"BGR","","ALL","1998","1.62"
"BGR","","ALL","1999","1.73"
"BGR","","ALL","2000","1.72"
"BIH","","ALL","1980","0.44"
"BIH","","ALL","1981","0.51"
"BIH","","ALL","1982","0.47"
"BIH","","ALL","1983","0.5"
"BIH","","ALL","1984","0.57"
"BIH","","ALL","1985","0.49"
"BIH","","ALL","1986","0.57"
"BIH","","ALL","1987","0.55"
"BIH","","ALL","1988","0.62"
"BIH","","ALL","1989","0.72"
"BIH","","ALL","1990","0.73"
"BIH","","ALL","1991","0.73"
"BIH","","ALL","1998","1.37"
"BIH","","ALL","1999","1.23"
